Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	SB_4_64_SH_AYa2022_R1.raw	SB_4_64_SH_AYa2022_R2.raw	SB_4_64_SH_AYa2022_R3.raw	SB_4_64_SH_WT_R1.raw	SB_4_64_SH_WT_R2.raw	SB_4_64_SH_WT_R3.raw	SB_4_64_SH_AY_R1.raw	SB_4_64_SH_AY_R2.raw	SB_4_64_SH_AY_R3.raw	SB_4_64_SH_AYa18_R1.raw	SB_4_64_SH_AYa18_R2.raw	SB_4_64_SH_AYa18_R3.raw
P40339	RFC4_YEAST	RFC4		2	2	47127.7	55220.4	51028.6	157591.0		49962.5			95217.7	155914.0	56456.4	63631.3
P40340	ATAD2_YEAST	YTA7		3	3		433840.0	492224.0	589861.0	1064420.0	329396.0	776366.0	497299.0	739526.0			
P40341	YTA12_YEAST	YTA12		57	55	213283000.0	222420000.0	238956000.0	247034000.0	225455000.0	222923000.0	233972000.0	252247000.0	237574000.0	241312000.0	251288000.0	241389000.0
P40343	VPS27_YEAST	VPS27		8	8	7951100.0	2369790.0	742781.0	11474100.0	5215610.0		18732900.0	1791200.0	903061.0	14000900.0	1930580.0	
P40344	ATG3_YEAST	ATG3		7	7	22789000.0	7655690.0	3620650.0	10822900.0	3564270.0	2820330.0	21407300.0	6859430.0	3307920.0	34249500.0	12343800.0	1627220.0
P40345	PDAT_YEAST	LRO1		15	15	34547000.0	36448600.0	15367700.0	55092000.0	23037600.0	7175560.0	33783400.0	28685200.0	6917820.0	28017100.0	40630400.0	4693780.0
P40347	PPAL_YEAST	LTP1		3	3	2191180.0	1245980.0	532746.0	1940700.0	1235660.0		1997460.0	1412930.0	598096.0	2513900.0	1095280.0	282167.0
P40348	RFC2_YEAST	RFC2		10	10	1512610.0	1884170.0	2078070.0	1990280.0	1057460.0	1671630.0	2281890.0	794635.0	1772340.0	2803400.0	1657310.0	847699.0
P40350	ALG5_YEAST	ALG5		10	10	27055100.0	23937600.0	12543300.0	33378200.0	16517300.0	4126320.0	24593300.0	23399900.0	5929910.0	22910700.0	26764000.0	2933240.0
P40351	ALG8_YEAST	ALG8		3	3	2050140.0	2314150.0	909808.0	3820800.0	1728750.0		1793520.0	4218950.0	194884.0	1745190.0	2935630.0	
P40354	NTA1_YEAST	NTA1		18	18	6901260.0	7759150.0	8225540.0	8910100.0	10680300.0	10315100.0	9662380.0	7276780.0	8600290.0	9106320.0	7024340.0	6898590.0
P40357	SEC9_YEAST	SEC9		18	18	5168800.0	4789250.0	2530120.0	6800280.0	4660240.0	1033550.0	11197000.0	4921680.0	2461710.0	6206140.0	7762270.0	1237900.0
P40358	JEM1_YEAST	JEM1		10	10	8965610.0	7552830.0	4664740.0	10720700.0	6109230.0	1917860.0	8627060.0	6590890.0	3168200.0	10068000.0	11446500.0	4120660.0
P40360	NAGS_YEAST	ARG2		22	22	14038600.0	17699500.0	21545300.0	13147600.0	17012900.0	21772100.0	16126900.0	15342700.0	20814800.0	15011400.0	15525600.0	20053900.0
P40362	UTP18_YEAST	UTP18		2	2	257819.0	356509.0	377433.0	493286.0	550532.0	203429.0	865814.0	233001.0	302653.0	422485.0	356624.0	612214.0
P40363	SFGH_YEAST	YJL068C		7	7	8006790.0	6160890.0	1555110.0	9600510.0	8113800.0	2916030.0	19028300.0	5388600.0	1207570.0	7388230.0	8176130.0	
P40364	MPM1_YEAST	MPM1		19	19	232718000.0	291338000.0	278085000.0	228066000.0	256662000.0	284187000.0	268588000.0	311765000.0	276747000.0	251215000.0	269289000.0	313781000.0
P40367	GPI7_YEAST	LAS21		6	6	28234900.0	24164400.0	11076400.0	42209500.0	15507500.0	5595870.0	25156000.0	17516700.0	6272450.0	25582800.0	25331900.0	4588400.0
P40368	NUP82_YEAST	NUP82		21	21	33303700.0	39769100.0	14322800.0	59603500.0	22002100.0	5496480.0	35508800.0	23184000.0	7627480.0	30112100.0	35796800.0	7136120.0
P40395	RIC1_YEAST	RIC1		2	2									2081690.0			
P40413	TCPE_YEAST	CCT5		12	12	4382410.0	3292330.0	2382710.0	6975420.0	3200740.0	1487500.0	11618800.0	2496270.0	2037480.0	6437270.0	5578120.0	1975960.0
P40414	TPM2_YEAST	TPM2		10	10	12428100.0	9333600.0	2688740.0	15682800.0	8645540.0	2167670.0	21481200.0	6380840.0	2389490.0	13644300.0	9274790.0	3001790.0
P40416	ATM1_YEAST	ATM1		26	26	39316000.0	42295900.0	49477200.0	42031800.0	47439000.0	46958300.0	39133500.0	47213300.0	46434800.0	39975200.0	49119500.0	54731200.0
P40422	RPAB4_YEAST	RPC10		1	1	577860.0	848119.0	594020.0	625067.0	460515.0	86323.7	1189330.0	819670.0	735330.0	742222.0	299392.0	742328.0
